matricula;nome;sobre-nome;cargo;email-corporativo;celular-corporativo;tel-comercial;nome-empresa;web-site;slogan;logradouro;cidade;estado;pais;cep
9990639;Alex;Junio Vieira;Cientista de dados;alex.silva@montreal.com.br;(31) 9-9544-1552;(31) 3772-6908;Montreal Informatica;www.montreal.com.br;TI que transforma;Magalhaes Penido - 77;Belo Horizonte;MG;Brasil;357000-000
9990640;Alex;Junio Vieira;Cientista de dados;alex.silva@montreal.com.br;(31) 9-9544-1553;(31) 3772-6909;Montreal Informatica;www.montreal.com.br;TI que transforma;Magalhaes Penido - 78;Belo Horizonte;MG;Brasil;357000-001
9990641;Alex;Junio Vieira;Cientista de dados;alex.silva@montreal.com.br;(31) 9-9544-1554;(31) 3772-6910;Montreal Informatica;www.montreal.com.br;TI que transforma;Magalhaes Penido - 79;Belo Horizonte;MG;Brasil;357000-002
9990642;Alex;Junio Vieira;Cientista de dados;alex.silva@montreal.com.br;(31) 9-9544-1555;(31) 3772-6911;Montreal Informatica;www.montreal.com.br;TI que transforma;Magalhaes Penido - 80;Belo Horizonte;MG;Brasil;357000-003
9990643;Alex;Junio Vieira;Cientista de dados;alex.silva@montreal.com.br;(31) 9-9544-1556;(31) 3772-6912;Montreal Informatica;www.montreal.com.br;TI que transforma;Magalhaes Penido - 81;Belo Horizonte;MG;Brasil;357000-004
9990644;Alex;Junio Vieira;Cientista de dados;alex.silva@montreal.com.br;(31) 9-9544-1557;(31) 3772-6913;Montreal Informatica;www.montreal.com.br;TI que transforma;Magalhaes Penido - 82;Belo Horizonte;MG;Brasil;357000-005
9990645;Alex;Junio Vieira;Cientista de dados;alex.silva@montreal.com.br;(31) 9-9544-1558;(31) 3772-6914;Montreal Informatica;www.montreal.com.br;TI que transforma;Magalhaes Penido - 83;Belo Horizonte;MG;Brasil;357000-006
9990646;Alex;Junio Vieira;Cientista de dados;alex.silva@montreal.com.br;(31) 9-9544-1559;(31) 3772-6915;Montreal Informatica;www.montreal.com.br;TI que transforma;Magalhaes Penido - 84;Belo Horizonte;MG;Brasil;357000-007
9990647;Alex;Junio Vieira;Cientista de dados;alex.silva@montreal.com.br;(31) 9-9544-1560;(31) 3772-6916;Montreal Informatica;www.montreal.com.br;TI que transforma;Magalhaes Penido - 85;Belo Horizonte;MG;Brasil;357000-008
9990648;Alex;Junio Vieira;Cientista de dados;alex.silva@montreal.com.br;(31) 9-9544-1561;(31) 3772-6917;Montreal Informatica;www.montreal.com.br;TI que transforma;Magalhaes Penido - 86;Belo Horizonte;MG;Brasil;357000-009
9990649;Alex;Junio Vieira;Cientista de dados;alex.silva@montreal.com.br;(31) 9-9544-1562;(31) 3772-6918;Montreal Informatica;www.montreal.com.br;TI que transforma;Magalhaes Penido - 87;Belo Horizonte;MG;Brasil;357000-010
9990650;Alex;Junio Vieira;Cientista de dados;alex.silva@montreal.com.br;(31) 9-9544-1563;(31) 3772-6919;Montreal Informatica;www.montreal.com.br;TI que transforma;Magalhaes Penido - 88;Belo Horizonte;MG;Brasil;357000-011
9990651;Alex;Junio Vieira;Cientista de dados;alex.silva@montreal.com.br;(31) 9-9544-1564;(31) 3772-6920;Montreal Informatica;www.montreal.com.br;TI que transforma;Magalhaes Penido - 89;Belo Horizonte;MG;Brasil;357000-012
9990652;Alex;Junio Vieira;Cientista de dados;alex.silva@montreal.com.br;(31) 9-9544-1565;(31) 3772-6921;Montreal Informatica;www.montreal.com.br;TI que transforma;Magalhaes Penido - 90;Belo Horizonte;MG;Brasil;357000-013
9990653;Alex;Junio Vieira;Cientista de dados;alex.silva@montreal.com.br;(31) 9-9544-1566;(31) 3772-6922;Montreal Informatica;www.montreal.com.br;TI que transforma;Magalhaes Penido - 91;Belo Horizonte;MG;Brasil;357000-014
9990654;Alex;Junio Vieira;Cientista de dados;alex.silva@montreal.com.br;(31) 9-9544-1567;(31) 3772-6923;Montreal Informatica;www.montreal.com.br;TI que transforma;Magalhaes Penido - 92;Belo Horizonte;MG;Brasil;357000-015
9990655;Alex;Junio Vieira;Cientista de dados;alex.silva@montreal.com.br;(31) 9-9544-1568;(31) 3772-6924;Montreal Informatica;www.montreal.com.br;TI que transforma;Magalhaes Penido - 93;Belo Horizonte;MG;Brasil;357000-016
